project_id;cost;real_votes;real_rank;predicted_votes;predicted_rank;city;prediction_type
332;420000.0;544;39;801.1069156572308;36;Wroclaw;ML/PVM
334;250000.0;480;40;317.7674582781726;47;Wroclaw;ML/PVM
35;500000.0;433;41;657.6486184596258;40;Wroclaw;ML/PVM
620;200000.0;418;42;646.3565591936608;42;Wroclaw;ML/PVM
203;150000.0;415;43;484.81669297296617;44;Wroclaw;ML/PVM
735;50000.0;266;44;1026.3555673253395;31;Wroclaw;ML/PVM
464;250000.0;263;45;1706.6574500607342;22;Wroclaw;ML/PVM
422;150000.0;236;46;382.2522345444561;46;Wroclaw;ML/PVM
406;600000.0;178;47;956.0056255675826;32;Wroclaw;ML/PVM
629;130000.0;156;48;447.99121513439326;45;Wroclaw;ML/PVM
720;50000.0;118;49;720.285814256945;39;Wroclaw;ML/PVM
677;150000.0;83;50;270.3398223734874;50;Wroclaw;ML/PVM
